,radius,conc,steps seeds,steps walkers,fractal dimension
608,5,0.10053,1.125,3.0,2.5974
609,5,0.10053,1.75,0.5,2.6174
610,5,0.10053,1.75,1.125,2.6245
611,5,0.10053,1.75,1.75,2.5818
612,5,0.10053,1.75,2.375,2.5999
613,5,0.10053,1.75,3.0,2.5887
614,5,0.10053,2.375,0.5,2.5627
615,5,0.10053,2.375,1.125,2.5854
616,5,0.10053,2.375,1.75,2.5895
617,5,0.10053,2.375,2.375,2.5841
618,5,0.10053,2.375,3.0,2.5805
619,5,0.10053,3.0,0.5,2.5427
620,5,0.10053,3.0,1.125,2.5454
621,5,0.10053,3.0,1.75,2.542
622,5,0.10053,3.0,2.375,2.5538
623,5,0.10053,3.0,3.0,2.5544
